snapshot_index,time,magic_m2,final_train_nll,final_val_nll,final_kl,final_tv,steps_to_threshold,condition_id,architecture,n_sites,theta1,hidden_size,seed,snapshot_entropy
0,0.0,1.01767219386279,1.2006307888031005,1.1976217031478882,0.041558306765192024,0.045209874112939266,6.0,N6_th0.00_archgru_h48_s11,gru,6,0.0,48,11,0.22905280285942864
20,1.6666666666666665,1.01767219386279,1.2114412784576416,1.1793723106384277,0.04677704824858321,0.04319582712549551,6.0,N6_th0.00_archgru_h48_s11,gru,6,0.0,48,11,0.2290528028594284
40,3.333333333333333,1.01767219386279,1.1925467205047608,1.1879363059997559,0.04113351470032692,0.04690417694535287,6.0,N6_th0.00_archgru_h48_s11,gru,6,0.0,48,11,0.22905280285942847
60,5.0,1.0176721938627908,1.2397609901428224,1.1797733306884766,0.03824026086411578,0.037050753036973014,6.0,N6_th0.00_archgru_h48_s11,gru,6,0.0,48,11,0.22905280285942847
0,0.0,1.01767219386279,1.2056459999084472,1.1721075773239136,0.04503472432754785,0.053484704752810724,7.0,N6_th0.00_archgru_h48_s17,gru,6,0.0,48,17,0.22905280285942864
20,1.6666666666666665,1.01767219386279,1.2251594066619873,1.230642318725586,0.04199144342591254,0.04466650666708212,6.0,N6_th0.00_archgru_h48_s17,gru,6,0.0,48,17,0.2290528028594284
40,3.333333333333333,1.01767219386279,1.2576312017440796,1.234188199043274,0.05281819852123625,0.06032281396091488,7.0,N6_th0.00_archgru_h48_s17,gru,6,0.0,48,17,0.22905280285942847
60,5.0,1.0176721938627908,1.250184736251831,1.1729302406311035,0.04516063493710126,0.04613480397734452,6.0,N6_th0.00_archgru_h48_s17,gru,6,0.0,48,17,0.22905280285942847
0,0.0,1.01767219386279,1.186571307182312,1.2057421207427979,0.045859897847504404,0.05247892805858573,7.0,N6_th0.00_archgru_h48_s23,gru,6,0.0,48,23,0.22905280285942864
20,1.6666666666666665,1.01767219386279,1.21851824760437,1.1812208890914917,0.04640759645192814,0.05314598969013318,6.0,N6_th0.00_archgru_h48_s23,gru,6,0.0,48,23,0.2290528028594284
40,3.333333333333333,1.01767219386279,1.2293347549438476,1.1701900959014893,0.036561646436200405,0.03929421153957881,6.0,N6_th0.00_archgru_h48_s23,gru,6,0.0,48,23,0.22905280285942847
