theta1,max_lambda,max_entropy,norm_drift,dense_krylov_error,hermitian_h0,hermitian_h1,max_magic_m2
0.0,-0.0,0.22807231345757023,3.1086244689504383e-15,2.6738729909670216e-14,True,True,1.0084901620272522
0.8,0.0011568688505459955,0.2280723134575699,1.7763568394002505e-15,,True,True,1.02062326867095
1.2,0.002565342168478777,0.22807231345756998,2.55351295663786e-15,,True,True,1.0440639176718607
1.6,0.004498891755153203,0.22807231345757004,1.3322676295501878e-15,,True,True,1.074543221966623
2.0,0.006941762836370095,0.22807231345757023,3.9968028886505635e-15,,True,True,1.1045098488057166
2.4,0.009883097259094042,0.2280723134575695,2.220446049250313e-15,,True,True,1.127049914013175
