n_sites,theta1,max_lambda,max_entropy,peak_time_lambda,norm_drift,max_magic_m2,peak_time_m2,peak_lag_m2_minus_lambda,max_abs_dlambda_dt,max_abs_dm2_dt
10.0,0.0,-0.0,0.2260498882626132,0.0,6.661338147750939e-16,1.7845789573647233,0.0,0.0,0.0,5.329070518200751e-15
10.0,1.2,0.002844004210845446,0.2260498882626132,1.8,4.773959005888173e-15,1.784578957364741,0.0,-1.8,0.002377739964302665,0.15661911523819685
10.0,2.4,0.01119918046038381,0.22604988826261316,1.8,4.218847493575595e-15,1.7845789573647108,0.0,-1.8,0.009339272783217325,0.35262944076949415
